CountryOfOrigin	Cupper.Points	Acidity	Balance
Brazil	7.33	7.25	7.58
Brazil	7.5	7.42	7.33
Brazil	8	7.5	7.42
Brazil	8	7.33	7.67
Brazil	8	7.5	7.42
Brazil	6.67	7	6.42
Brazil	7.83	7.67	7.58
Brazil	7.42	7.67	7.5
Brazil	7.33	7.5	7.25
Brazil	7.58	7.83	7.67
Brazil	7.5	7.33	7.42
Brazil	7.67	7.33	7.5
Brazil	7.33	7.33	7.42
Brazil	7.75	7.67	7.75
Brazil	7.42	7.5	7.42
Brazil	7.67	7.67	7.33
Brazil	7.5	7.5	7.58
Brazil	7.5	7.25	7.42
Brazil	7.75	7.75	7.75
Brazil	6.67	7	6.83
Brazil	7.25	7.08	7
Brazil	7.5	7.5	7.67
Brazil	7.42	7.42	7.58
Brazil	7.58	7.58	7.58
Brazil	7.33	7.5	7.17
Brazil	7.17	7.67	7.17
Brazil	7.33	7.5	7.5
Brazil	8	7.83	7.67
Brazil	7.42	7.5	7.42
Brazil	7.58	7.5	7.5
Brazil	7.42	7.33	7.5
Brazil	7.42	7.25	7.33
Brazil	7.25	7.25	7.33
Brazil	7.08	7.17	7.25
Brazil	7.58	7.5	7.83
Brazil	7.67	7.67	8
Brazil	7.67	7.17	7.42
Brazil	8.13	7.75	8.25
Brazil	7.67	7.58	7.5
Brazil	7.25	7.17	7.58
Brazil	7.33	7.5	7.25
Brazil	7.17	7.42	7.25
Brazil	7.42	7.08	7.25
Brazil	7.5	7.5	7.33
Brazil	7.5	7.58	7.5
Brazil	6.83	7.08	6.83
Brazil	7	7.5	7
Brazil	7.5	7.75	7.83
Brazil	7.42	7.58	7.5
Brazil	7.5	7.5	7.58
Brazil	7.42	7.5	7.5
Brazil	7.83	7.75	7.83
Brazil	7.83	7.75	7.58
Brazil	7.58	7.5	7.58
Brazil	7.58	7.67	7.42
Brazil	7.58	7.5	7.42
Brazil	7.5	7.5	7.58
Brazil	7.5	7.75	7.5
Brazil	7.5	7.67	7.42
Brazil	7.5	7.5	7.5
Brazil	7.5	7.5	7.42
Brazil	7.92	7.5	7.75
Brazil	8.5	7.5	7.5
Brazil	7.75	7.75	7.67
Brazil	7.83	7.67	7.5
Brazil	7.92	7.58	7.58
Brazil	7.75	7.58	7.58
Brazil	7.5	7.75	7.5
Brazil	7.58	7.67	7.5
Brazil	7.5	7.58	7.5
Brazil	7.42	7.5	7.5
Brazil	7.5	7.42	7.5
Brazil	7.5	7.5	7.25
Brazil	7.25	7.5	7.25
Brazil	7	7.58	6.92
Brazil	7.42	7.75	7.5
Brazil	7.58	7.5	7.5
Brazil	7.75	7.75	7.75
Brazil	7.67	7.75	7.58
Brazil	7.92	8	8
Brazil	8	8	8
Brazil	7.92	7.25	7.75
Brazil	7.75	7.67	7.5
Brazil	7.5	7.33	7.67
Brazil	8.17	7.5	7.5
Brazil	7.08	7.42	7.17
Brazil	8	7.67	8
Brazil	7.42	7.5	7.42
Brazil	7.42	7.5	7.58
Brazil	8	8	7.83
Brazil	8.08	7.5	8.17
Brazil	7.58	7.58	7.92
Brazil	7.92	7.33	7.42
Brazil	7.67	7.42	7.5
Brazil	7.5	7.67	7.5
Brazil	7.42	7.5	7.42
Brazil	7.75	8.33	8.08
Brazil	8	8.08	8
Brazil	7.67	7.08	7.42
Brazil	7.42	7.42	7.33
Brazil	7.58	7.33	7.5
Brazil	7.25	7.58	7.92
Brazil	7.75	7.5	7.25
Brazil	8.25	6.92	7.5
Brazil	7.33	7.17	7.33
Brazil	7.25	7.42	7.58
Brazil	7.33	7.5	7.42
Brazil	7.33	7.33	7.25
Brazil	7.42	7.17	7.33
Brazil	7.33	7.08	8.17
Brazil	7.33	7.25	7.33
Brazil	7.25	7	7.25
Brazil	7.42	7.42	7.42
Brazil	7.33	7.5	7.42
Brazil	7.92	8	7.75
Brazil	7.5	7.5	7.33
Brazil	7.75	7.67	7.83
Brazil	7.17	7.42	7.33
Brazil	7.5	7.67	7.67
Brazil	7.83	7.42	7.75
Brazil	8.08	7.75	8
Brazil	8.17	7.75	8
Brazil	7.75	7.75	7.75
Brazil	7.75	7.5	7.83
Brazil	7.33	7.5	7.25
Brazil	8	7.75	8
Brazil	7.75	7.75	7.75
Brazil	7.75	7.75	7.67
Brazil	7.5	7	7.58
Brazil	8.33	8.5	8.33
Brazil	7.25	7.25	8.25
Brazil	6.67	6.83	6.83
Burundi	7.83	7.5	7.75
Burundi	7.33	7.33	7.08
China	8.42	8.17	8
China	7.92	7.83	7.75
China	7.92	7.83	7.67
China	7.92	7.83	7.58
