Country	Aroma	Flavor	Aftertaste	Acidity	Body	Balance	Uniformity	Clean.Cup	Sweetness	Cupper.Points
Brazil	7.58	7.42	7.5	7.25	7.75	7.58	9.33	10	9.33	7.33
Brazil	7.58	7.5	7.25	7.42	7.67	7.33	10	10	10	7.5
Brazil	7.58	7.67	7.42	7.5	7.67	7.42	10	10	10	8
Brazil	7.42	7.42	7.5	7.33	7.25	7.67	10	10	10	8
Brazil	7.42	7.5	7.33	7.5	7.25	7.42	10	10	10	8
Brazil	7.25	6.58	6.58	7	7	6.42	8	8	10	6.67
Brazil	7.83	7.83	7.58	7.67	7.5	7.58	10	10	10	7.83
Brazil	7.67	7.42	7.33	7.67	7.5	7.5	10	10	10	7.42
Brazil	7.33	7.67	7.25	7.5	7.5	7.25	10	10	10	7.33
Brazil	7.08	7.5	7.5	7.83	7.75	7.67	10	10	10	7.58
Brazil	7.33	7.5	7.5	7.33	6.83	7.42	10	10	10	7.5
Brazil	7.33	7.5	7.5	7.33	7.5	7.5	10	10	10	7.67
Brazil	7.25	7.33	7.33	7.33	7.33	7.42	10	10	10	7.33
Brazil	7.67	7.75	7.75	7.67	7.83	7.75	10	10	10	7.75
Brazil	7.42	7.5	7.25	7.5	7.5	7.42	10	10	10	7.42
Brazil	7.58	7.83	7.33	7.67	7.42	7.33	10	10	10	7.67
Brazil	7.42	7.42	7.42	7.5	7.5	7.58	10	10	10	7.5
Brazil	7.58	7.5	7.42	7.25	7.5	7.42	10	10	10	7.5
Brazil	7.67	7.75	7.83	7.75	7.83	7.75	10	6.67	10	7.75
Brazil	7	7	6.83	7	7.33	6.83	6	6	10	6.67
Brazil	7.17	7.33	7.42	7.08	7	7	10	10	10	7.25
Brazil	7.42	7.67	7.58	7.5	7.75	7.67	10	10	10	7.5
Brazil	7.42	7.5	7.5	7.42	7.5	7.58	10	10	10	7.42
Brazil	7.75	7.67	7.5	7.58	7.58	7.58	10	10	10	7.58
Brazil	7.25	7.25	7.17	7.5	7.33	7.17	10	10	10	7.33
Brazil	7.33	7.17	7.17	7.67	7.33	7.17	10	10	10	7.17
Brazil	7.42	7.58	7.25	7.5	7.33	7.5	10	10	10	7.33
Brazil	8	8	7.83	7.83	7.67	7.67	10	10	10	8
Brazil	7.58	7.5	7.42	7.5	7.5	7.42	10	10	10	7.42
Brazil	7.67	7.67	7.67	7.5	7.42	7.5	10	10	10	7.58
Brazil	7.42	7.42	7.08	7.33	7.67	7.5	9.33	9.33	10	7.42
Brazil	7.17	7.33	7.42	7.25	7.42	7.33	10	10	10	7.42
Brazil	7.25	7.33	7.25	7.25	7.25	7.33	10	10	10	7.25
Brazil	7.17	7.17	7	7.17	7.25	7.25	10	10	10	7.08
Brazil	7.5	7.58	7.5	7.5	7.75	7.83	9.33	9.33	9.33	7.58
Brazil	7.58	7.83	7.75	7.67	7.67	8	10	10	10	7.67
Brazil	7.33	7.67	7.42	7.17	7.33	7.42	10	10	10	7.67
Brazil	7.81	7.81	7.88	7.75	7.38	8.25	9.5	10	10	8.13
Brazil	7.92	7.58	7.5	7.58	7.42	7.5	10	10	10	7.67
Brazil	7.17	7.25	7.08	7.17	7.25	7.58	10	10	10	7.25
Brazil	7.42	7.5	7.42	7.5	7.42	7.25	10	10	10	7.33
Brazil	7.42	7.42	7.17	7.42	7.33	7.25	10	10	10	7.17
Brazil	7.33	7.25	7.33	7.08	7.58	7.25	9.33	10	10	7.42
Brazil	7.42	7.33	7.33	7.5	7.5	7.33	10	10	10	7.5
Brazil	7.33	7.5	7.58	7.58	7.67	7.5	10	10	10	7.5
Brazil	6.83	7	6.92	7.08	6.92	6.83	10	10	10	6.83
Brazil	7.17	7	6.83	7.5	7.17	7	8	8	10	7
Brazil	8.5	8	7.5	7.75	7.5	7.83	10	10	10	7.5
Brazil	7.58	7.58	7.25	7.58	7.42	7.5	10	10	10	7.42
Brazil	7.75	7.67	7.58	7.5	7.58	7.58	10	10	10	7.5
Brazil	7.42	7.5	7.33	7.5	7.33	7.5	10	10	10	7.42
Brazil	7.58	7.67	7.67	7.75	7.58	7.83	10	10	10	7.83
Brazil	7.58	7.75	7.58	7.75	7.58	7.58	10	10	10	7.83
Brazil	7.58	7.58	7.58	7.5	7.67	7.58	10	10	10	7.58
Brazil	7.5	7.67	7.58	7.67	7.58	7.42	10	10	10	7.58
Brazil	7.67	7.58	7.58	7.5	7.5	7.42	10	10	10	7.58
Brazil	7.5	7.5	7.58	7.5	7.58	7.58	10	10	10	7.5
Brazil	7.5	7.58	7.25	7.75	7.58	7.5	10	10	10	7.5
Brazil	7.5	7.58	7.5	7.67	7.5	7.42	10	10	10	7.5
Brazil	7.5	7.5	7.42	7.5	7.42	7.5	10	10	10	7.5
Brazil	7.5	7.33	7.42	7.5	7.33	7.42	10	10	10	7.5
Brazil	8	8	7.5	7.5	7.67	7.75	10	10	10	7.92
Brazil	7.5	7.75	7.58	7.5	7.58	7.5	10	10	10	8.5
Brazil	7.67	7.67	7.58	7.75	7.67	7.67	10	10	10	7.75
Brazil	7.67	7.83	7.5	7.67	7.67	7.5	10	10	10	7.83
Brazil	7.58	7.67	7.58	7.58	7.67	7.58	10	10	10	7.92
Brazil	7.67	7.42	7.5	7.58	7.67	7.58	10	10	10	7.75
Brazil	7.58	7.5	7.5	7.75	7.67	7.5	10	10	10	7.5
Brazil	7.5	7.58	7.58	7.67	7.58	7.5	10	10	10	7.58
Brazil	7.67	7.58	7.5	7.58	7.58	7.5	10	10	10	7.5
Brazil	7.5	7.5	7.5	7.5	7.58	7.5	10	10	10	7.42
Brazil	7.42	7.42	7.5	7.42	7.42	7.5	10	10	10	7.5
Brazil	7.42	7.58	7.42	7.5	7.42	7.25	10	10	10	7.5
Brazil	7.42	7.5	7.25	7.5	7.5	7.25	10	10	10	7.25
Brazil	7.5	7.33	7.42	7.58	7.58	6.92	8	8	10	7
Brazil	7.58	7.5	7.33	7.75	7.5	7.5	10	10	10	7.42
Brazil	7.75	7.5	7.58	7.5	7.75	7.5	10	10	10	7.58
Brazil	8	7.92	7.75	7.75	8	7.75	10	10	10	7.75
Brazil	7.83	7.75	7.5	7.75	7.5	7.58	10	10	10	7.67
Brazil	8.5	8.5	8	8	8	8	10	10	10	7.92
Brazil	8.33	8	8	8	7.75	8	10	10	10	8
Brazil	7.58	7.83	7.67	7.25	8	7.75	10	10	10	7.92
Brazil	7.92	7.5	7.33	7.67	8.17	7.5	10	10	10	7.75
Brazil	7.42	7.5	7.67	7.33	7.42	7.67	10	10	10	7.5
Brazil	7.25	7.33	7.25	7.5	7.42	7.5	10	10	10	8.17
Brazil	7.42	7.33	7.25	7.42	7.5	7.17	10	10	10	7.08
Brazil	8	8	8	7.67	7.75	8	10	10	10	8
Brazil	7.58	7.67	7.33	7.5	7.5	7.42	10	10	10	7.42
Brazil	7.58	7.75	7.67	7.5	7.67	7.58	10	10	10	7.42
Brazil	7.25	7.58	7.42	8	7.75	7.83	10	10	10	8
Brazil	7.67	7.67	7.58	7.5	7.83	8.17	10	10	9.33	8.08
Brazil	7.5	7.83	7.33	7.58	7.58	7.92	10	10	10	7.58
Brazil	7.33	7.67	7.67	7.33	7.75	7.42	10	10	10	7.92
Brazil	7.58	7.83	7.67	7.42	7.42	7.5	10	10	10	7.67
Brazil	7.58	7.5	7.42	7.67	7.5	7.5	10	10	10	7.5
Brazil	7.17	7.83	7.33	7.5	7.75	7.42	10	10	10	7.42
Brazil	8.25	7.83	7.25	8.33	8.17	8.08	10	6.67	10	7.75
Brazil	7.75	8.08	7.67	8.08	8.08	8	10	10	6.67	8
Brazil	7.42	7.67	7.5	7.08	7.5	7.42	10	10	10	7.67
Brazil	7.75	7.58	7.42	7.42	7.33	7.33	10	10	10	7.42
Brazil	6.92	7.58	7.42	7.33	7.83	7.5	10	10	10	7.58
Brazil	7.25	7.25	7.58	7.58	7.25	7.92	10	10	10	7.25
Brazil	7.17	7.58	6.83	7.5	7.75	7.25	10	10	10	7.75
Brazil	7.58	7	6.92	6.92	7.67	7.5	10	10	10	8.25
Brazil	7.33	7.58	7.25	7.17	7.83	7.33	10	10	10	7.33
Brazil	7.25	7.75	6.92	7.42	7.5	7.58	10	10	10	7.25
Brazil	7.25	7.42	7.25	7.5	7.5	7.42	10	10	10	7.33
Brazil	7.42	7.42	7.33	7.33	7.5	7.25	10	10	10	7.33
Brazil	7.25	7.5	7.42	7.17	7.33	7.33	10	10	10	7.42
Brazil	7.17	7.42	7.17	7.08	6.92	8.17	10	10	10	7.33
Brazil	7.17	7.42	7.17	7.25	7.25	7.33	10	10	10	7.33
Brazil	7.42	7.25	7.33	7	7.08	7.25	10	10	10	7.25
Brazil	7.75	7.5	7.42	7.42	7.5	7.42	10	10	10	7.42
Brazil	7.58	7.5	7.17	7.5	7.5	7.42	10	10	10	7.33
Brazil	8	8	7.75	8	7.5	7.75	10	10	10	7.92
Brazil	7.5	7.58	7.42	7.5	7.75	7.33	10	10	10	7.5
Brazil	7.58	7.5	7.5	7.67	7.67	7.83	9.33	9.33	9.33	7.75
Brazil	7.5	7.42	7.17	7.42	7.5	7.33	10	10	10	7.17
Brazil	7.75	7.58	7.42	7.67	7.42	7.67	10	10	10	7.5
Brazil	7.75	7.75	7.5	7.42	7.83	7.75	9.33	9.33	9.33	7.83
Brazil	8.17	7.92	7.92	7.75	8.33	8	10	10	10	8.08
Brazil	8.42	7.92	8	7.75	7.92	8	10	10	10	8.17
Brazil	8.17	7.67	7.75	7.75	7.67	7.75	10	10	10	7.75
Brazil	7.33	7.83	7.75	7.5	7.42	7.83	10	10	10	7.75
Brazil	7.25	7.33	7.17	7.5	7.33	7.25	9.33	10	10	7.33
Brazil	8.5	8.17	8	7.75	8	8	10	10	10	8
Brazil	8	8	7.75	7.75	7.58	7.75	10	10	10	7.75
Brazil	8.17	8	7.5	7.75	7.5	7.67	10	10	10	7.75
Brazil	7.67	7.58	7.42	7	7.5	7.58	10	10	10	7.5
Brazil	8.58	8.42	8.42	8.5	8.25	8.33	10	10	10	8.33
Brazil	7.17	7.25	7.17	7.25	7.42	8.25	10	10	10	7.25
Brazil	7	6.75	6.67	6.83	7.08	6.83	10	10	10	6.67
Burundi	7.75	7.67	7.33	7.5	7.5	7.75	10	10	10	7.83
Burundi	7.08	7.25	7.17	7.33	7.08	7.08	10	10	10	7.33
China	8.42	8.25	8.08	8.17	7.92	8	10	10	10	8.42
China	8	8	8	7.83	7.83	7.75	10	10	10	7.92
China	7.75	7.92	7.67	7.83	7.75	7.67	10	10	10	7.92
China	7.67	8	7.75	7.83	7.75	7.58	10	10	10	7.92
China	7.83	7.83	7.58	7.75	7.75	7.75	10	10	10	7.75
China	7.83	7.75	7.67	7.5	7.58	7.67	10	10	10	7.75
China	7.67	7.58	7.58	7.58	7.67	7.75	10	10	10	7.75
China	7.5	7.67	7.33	7.67	7.67	7.67	10	10	10	7.67
China	7.67	7.67	7.5	7.67	7.42	7.58	10	10	10	7.67
China	7.67	7.5	7.33	7.33	7.67	7.67	10	10	10	7.58
